timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 07:57:53.974, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.26 W, 47
2026/07/03 07:57:54.985, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.19 W, 46
2026/07/03 07:57:55.986, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.55 W, 45
2026/07/03 07:57:56.988, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.63 W, 45
2026/07/03 07:57:57.990, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.04 W, 44
2026/07/03 07:57:58.991, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.66 W, 43
2026/07/03 07:57:59.992, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.58 W, 43
2026/07/03 07:58:00.993, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.51 W, 42
2026/07/03 07:58:01.995, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.47 W, 42
2026/07/03 07:58:02.998, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.18 W, 42
2026/07/03 07:58:04.000, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.10 W, 41
2026/07/03 07:58:05.002, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.17 W, 41
2026/07/03 07:58:06.003, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.96 W, 41
2026/07/03 07:58:07.005, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.73 W, 40
2026/07/03 07:58:08.006, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.85 W, 39
2026/07/03 07:58:09.008, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 99 %, 14 %, 106.66 W, 50
2026/07/03 07:58:10.009, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.50 W, 52
2026/07/03 07:58:11.011, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.89 W, 53
2026/07/03 07:58:12.013, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.20 W, 53
