timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 08:23:53.976, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.42 W, 46
2026/07/03 08:23:54.985, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.47 W, 46
2026/07/03 08:23:55.987, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.41 W, 44
2026/07/03 08:23:56.989, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.12 W, 44
2026/07/03 08:23:57.991, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.30 W, 43
2026/07/03 08:23:58.993, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.50 W, 43
2026/07/03 08:23:59.995, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.90 W, 42
2026/07/03 08:24:00.997, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.49 W, 41
2026/07/03 08:24:01.998, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.32 W, 41
2026/07/03 08:24:03.000, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.38 W, 40
2026/07/03 08:24:04.001, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.40 W, 40
2026/07/03 08:24:05.003, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.13 W, 39
2026/07/03 08:24:06.005, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.95 W, 39
2026/07/03 08:24:07.006, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.85 W, 39
2026/07/03 08:24:08.009, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.83 W, 38
2026/07/03 08:24:09.011, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 69.99 W, 46
2026/07/03 08:24:10.013, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 22 %, 344.52 W, 51
2026/07/03 08:24:11.014, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 344.39 W, 52
2026/07/03 08:24:12.016, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.40 W, 53
2026/07/03 08:24:13.018, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.52 W, 53
2026/07/03 08:24:14.020, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.66 W, 53
2026/07/03 08:24:15.022, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.64 W, 53
2026/07/03 08:24:16.023, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 347.93 W, 55
2026/07/03 08:24:17.025, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.13 W, 56
2026/07/03 08:24:18.027, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.49 W, 56
2026/07/03 08:24:19.028, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 24 %, 345.83 W, 56
2026/07/03 08:24:20.030, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.54 W, 55
2026/07/03 08:24:21.032, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.49 W, 56
