concurrency,tpot_ms_mean,tpot_ms_std,decode_rate_tok_s_mean,decode_rate_tok_s_std,ttft_ms_mean,ttft_ms_std,throughput_tok_s_mean,throughput_tok_s_std,e2e_latency_ms_mean,e2e_latency_ms_std,gpu_mem_used_mib_mean_mean,gpu_mem_used_mib_mean_std,gpu_mem_used_mib_max_mean,gpu_mem_used_mib_max_std,gpu_mem_total_mib_mean,gpu_mem_total_mib_std,mem_pressure_x_mean_mean,mem_pressure_x_mean_std,mem_pressure_x_max_mean,mem_pressure_x_max_std,gpu_util_pct_mean_mean,gpu_util_pct_mean_std,power_w_mean_mean,power_w_mean_std,temp_c_mean_mean,temp_c_mean_std
1,15.8033,0.0027,63.278,0.0106,98.6228,0.3192,60.7847,0.0012,,,20407.5667,1.4012,20537.6667,226.3235,24564.0,0.0,0.8308,0.0001,0.8361,0.0092,98.0333,0.0577,331.6,1.249,61.9333,1.0693
2,16.4618,0.0037,60.7468,0.0136,153.3632,0.1251,114.0729,0.0261,,,20408.4,0.781,20538.3333,225.744,24564.0,0.0,0.8308,0.0001,0.8361,0.0092,96.8333,0.0577,298.6333,0.2082,59.8667,0.1155
4,17.4783,0.0036,57.2137,0.012,244.978,0.0907,207.6899,0.0466,,,20408.0,0.0,20408.0,0.0,24564.0,0.0,0.8308,0.0,0.8308,0.0,94.6,0.0,309.4,0.6083,60.2,0.0
8,20.1186,0.0042,49.7051,0.0104,299.1945,0.2396,358.5208,0.0967,,,20409.3667,2.1962,20543.6667,221.2698,24564.0,0.0,0.8309,0.0001,0.8363,0.009,91.0,0.0,323.5333,0.6658,60.5667,0.0577
16,25.103,0.0067,39.8359,0.0106,439.4769,0.1335,563.3365,0.153,,,20408.0,0.0,20408.0,0.0,24564.0,0.0,0.8308,0.0,0.8308,0.0,86.6,0.0,335.7333,0.3512,60.7667,0.0577
32,36.338,0.0113,27.5195,0.0086,712.5286,0.1054,766.1443,0.218,,,20408.0,0.0,20408.0,0.0,24564.0,0.0,0.8308,0.0,0.8308,0.0,83.0333,1.097,341.0333,2.318,61.0667,0.0577
