concurrency,tpot_ms,decode_rate_tok_s,ttft_ms,throughput_tok_s,e2e_latency_ms,gpu_mem_used_mib_mean,gpu_mem_used_mib_max,gpu_mem_total_mib,mem_pressure_x_mean,mem_pressure_x_max,gpu_util_pct_mean,power_w_mean,temp_c_mean
1,15.8033,63.278,98.6228,60.7847,,20407.5667,20537.6667,24564.0,0.8308,0.8361,98.0333,331.6,61.9333
2,16.4618,60.7468,153.3632,114.0729,,20408.4,20538.3333,24564.0,0.8308,0.8361,96.8333,298.6333,59.8667
4,17.4783,57.2137,244.978,207.6899,,20408.0,20408.0,24564.0,0.8308,0.8308,94.6,309.4,60.2
8,20.1186,49.7051,299.1945,358.5208,,20409.3667,20543.6667,24564.0,0.8309,0.8363,91.0,323.5333,60.5667
16,25.103,39.8359,439.4769,563.3365,,20408.0,20408.0,24564.0,0.8308,0.8308,86.6,335.7333,60.7667
32,36.338,27.5195,712.5286,766.1443,,20408.0,20408.0,24564.0,0.8308,0.8308,83.0333,341.0333,61.0667
