timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 15:28:41.570, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.17 W, 47
2026/07/03 15:28:42.573, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.98 W, 47
2026/07/03 15:28:43.574, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.92 W, 47
2026/07/03 15:28:44.574, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.86 W, 46
2026/07/03 15:28:45.575, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.83 W, 46
2026/07/03 15:28:46.575, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.80 W, 46
2026/07/03 15:28:47.576, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.76 W, 46
2026/07/03 15:28:48.576, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.72 W, 45
2026/07/03 15:28:49.577, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 30.67 W, 50
2026/07/03 15:28:50.577, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 383.42 W, 54
2026/07/03 15:28:51.578, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 297.47 W, 53
2026/07/03 15:28:52.578, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 325.75 W, 61
2026/07/03 15:28:53.579, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 408.91 W, 55
2026/07/03 15:28:54.579, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 299.75 W, 55
2026/07/03 15:28:55.580, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 37 %, 358.37 W, 64
2026/07/03 15:28:56.580, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 379.70 W, 56
2026/07/03 15:28:57.581, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 299.55 W, 55
2026/07/03 15:28:58.582, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 387.70 W, 65
2026/07/03 15:28:59.582, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 354.02 W, 56
2026/07/03 15:29:00.583, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 302.03 W, 56
2026/07/03 15:29:01.583, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 36 %, 418.98 W, 65
2026/07/03 15:29:02.584, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 326.52 W, 57
2026/07/03 15:29:03.584, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 301.53 W, 57
2026/07/03 15:29:04.585, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 441.17 W, 59
2026/07/03 15:29:05.586, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 305.35 W, 57
2026/07/03 15:29:06.587, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 76 %, 312.46 W, 63
2026/07/03 15:29:07.588, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 429.84 W, 59
