timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 15:30:41.022, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.96 W, 47
2026/07/03 15:30:42.026, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.84 W, 46
2026/07/03 15:30:43.026, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.86 W, 46
2026/07/03 15:30:44.027, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.82 W, 46
2026/07/03 15:30:45.027, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.72 W, 46
2026/07/03 15:30:46.028, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.68 W, 45
2026/07/03 15:30:47.029, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.70 W, 45
2026/07/03 15:30:48.030, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.68 W, 45
2026/07/03 15:30:49.030, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 52.71 W, 49
2026/07/03 15:30:50.031, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 465.20 W, 61
2026/07/03 15:30:51.031, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 371.18 W, 54
2026/07/03 15:30:52.032, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 318.13 W, 54
2026/07/03 15:30:53.033, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 98 %, 393.56 W, 63
2026/07/03 15:30:54.033, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 449.61 W, 64
2026/07/03 15:30:55.034, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 330.86 W, 56
2026/07/03 15:30:56.034, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 320.09 W, 56
2026/07/03 15:30:57.035, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 448.86 W, 64
2026/07/03 15:30:58.035, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 35 %, 393.35 W, 58
2026/07/03 15:30:59.036, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 320.27 W, 57
2026/07/03 15:31:00.036, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 373.81 W, 64
2026/07/03 15:31:01.037, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 453.61 W, 65
2026/07/03 15:31:02.038, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 355.75 W, 58
2026/07/03 15:31:03.038, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 322.01 W, 58
2026/07/03 15:31:04.039, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 431.43 W, 67
2026/07/03 15:31:05.040, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 416.88 W, 60
2026/07/03 15:31:06.040, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 322.06 W, 59
2026/07/03 15:31:07.041, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 349.25 W, 65
2026/07/03 15:31:08.042, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 35 %, 458.18 W, 66
2026/07/03 15:31:09.042, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 378.76 W, 60
2026/07/03 15:31:10.043, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 323.37 W, 59
2026/07/03 15:31:11.044, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 409.81 W, 67
2026/07/03 15:31:12.046, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 449.52 W, 68
2026/07/03 15:31:13.047, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 333.83 W, 60
2026/07/03 15:31:14.048, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 322.42 W, 59
2026/07/03 15:31:15.049, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 451.84 W, 67
2026/07/03 15:31:16.050, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 32 %, 401.07 W, 61
2026/07/03 15:31:17.050, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 324.38 W, 60
2026/07/03 15:31:18.051, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 377.46 W, 67
2026/07/03 15:31:19.051, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 43 %, 455.36 W, 68
2026/07/03 15:31:20.052, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 367.62 W, 61
2026/07/03 15:31:21.052, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 323.51 W, 60
2026/07/03 15:31:22.053, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 428.55 W, 68
2026/07/03 15:31:23.053, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 434.30 W, 63
2026/07/03 15:31:24.054, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 325.14 W, 61
