timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 15:51:06.868, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 30.09 W, 47
2026/07/03 15:51:07.873, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.94 W, 47
2026/07/03 15:51:08.874, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.88 W, 47
2026/07/03 15:51:09.874, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.49 W, 46
2026/07/03 15:51:10.875, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.01 W, 46
2026/07/03 15:51:11.876, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.93 W, 46
2026/07/03 15:51:12.876, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.94 W, 46
2026/07/03 15:51:13.877, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.93 W, 45
2026/07/03 15:51:14.878, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.90 W, 45
2026/07/03 15:51:15.878, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 222.46 W, 54
2026/07/03 15:51:16.879, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 299.20 W, 53
2026/07/03 15:51:17.880, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 326.66 W, 60
2026/07/03 15:51:18.880, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 409.79 W, 55
2026/07/03 15:51:19.881, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 301.53 W, 55
2026/07/03 15:51:20.882, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 37 %, 360.58 W, 63
2026/07/03 15:51:21.883, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 382.77 W, 56
2026/07/03 15:51:22.883, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 300.50 W, 55
2026/07/03 15:51:23.884, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 386.56 W, 65
2026/07/03 15:51:24.885, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 356.40 W, 56
2026/07/03 15:51:25.885, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 302.77 W, 56
2026/07/03 15:51:26.886, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 36 %, 419.12 W, 66
2026/07/03 15:51:27.887, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 326.70 W, 57
2026/07/03 15:51:28.888, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 302.00 W, 57
2026/07/03 15:51:29.889, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 95 %, 439.01 W, 62
2026/07/03 15:51:30.889, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 306.18 W, 57
2026/07/03 15:51:31.890, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 81 %, 311.41 W, 57
2026/07/03 15:51:32.891, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 432.11 W, 59
2026/07/03 15:51:33.891, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 303.46 W, 58
2026/07/03 15:51:34.892, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 331.46 W, 64
2026/07/03 15:51:35.892, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 417.82 W, 59
2026/07/03 15:51:36.893, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 304.03 W, 58
2026/07/03 15:51:37.895, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 354.73 W, 66
2026/07/03 15:51:38.895, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 397.52 W, 59
2026/07/03 15:51:39.896, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 303.92 W, 58
2026/07/03 15:51:40.896, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 377.22 W, 67
2026/07/03 15:51:41.897, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 375.57 W, 59
2026/07/03 15:51:42.897, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 304.33 W, 59
2026/07/03 15:51:43.898, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 400.12 W, 68
2026/07/03 15:51:44.899, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 351.89 W, 59
2026/07/03 15:51:45.899, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 304.91 W, 59
2026/07/03 15:51:46.900, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 420.49 W, 67
2026/07/03 15:51:47.901, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 330.93 W, 59
