timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 15:54:32.524, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 35.77 W, 47
2026/07/03 15:54:33.527, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.60 W, 46
2026/07/03 15:54:34.528, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.86 W, 46
2026/07/03 15:54:35.528, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.77 W, 46
2026/07/03 15:54:36.529, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.71 W, 46
2026/07/03 15:54:37.530, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.63 W, 45
2026/07/03 15:54:38.531, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.61 W, 45
2026/07/03 15:54:39.532, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.68 W, 45
2026/07/03 15:54:40.533, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.74 W, 45
2026/07/03 15:54:41.533, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 32 %, 210.18 W, 62
2026/07/03 15:54:42.534, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 453.05 W, 63
2026/07/03 15:54:43.535, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 451.54 W, 63
2026/07/03 15:54:44.536, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 371.65 W, 56
2026/07/03 15:54:45.536, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 345.18 W, 56
2026/07/03 15:54:46.537, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 62 %, 413.85 W, 65
2026/07/03 15:54:47.537, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 452.50 W, 65
2026/07/03 15:54:48.538, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 452.08 W, 66
2026/07/03 15:54:49.539, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 49 %, 404.81 W, 59
2026/07/03 15:54:50.540, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 347.32 W, 58
2026/07/03 15:54:51.540, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 379.14 W, 64
2026/07/03 15:54:52.541, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 453.82 W, 65
2026/07/03 15:54:53.542, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 449.10 W, 66
2026/07/03 15:54:54.542, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 431.53 W, 61
2026/07/03 15:54:55.543, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 349.44 W, 60
2026/07/03 15:54:56.544, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 349.03 W, 60
2026/07/03 15:54:57.544, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 43 %, 449.51 W, 66
2026/07/03 15:54:58.545, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 32 %, 447.59 W, 67
2026/07/03 15:54:59.545, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 448.12 W, 67
2026/07/03 15:55:00.546, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 370.61 W, 61
2026/07/03 15:55:01.546, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 351.18 W, 61
2026/07/03 15:55:02.547, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 425.19 W, 68
2026/07/03 15:55:03.550, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 451.36 W, 69
2026/07/03 15:55:04.551, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 450.18 W, 69
2026/07/03 15:55:05.551, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 400.04 W, 62
