timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 08:28:17.471, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.35 W, 44
2026/07/03 08:28:18.479, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.50 W, 44
2026/07/03 08:28:19.480, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.63 W, 43
2026/07/03 08:28:20.482, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.18 W, 43
2026/07/03 08:28:21.484, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.93 W, 42
2026/07/03 08:28:22.486, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.71 W, 41
2026/07/03 08:28:23.488, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.54 W, 41
2026/07/03 08:28:24.489, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.63 W, 41
2026/07/03 08:28:25.491, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.47 W, 41
2026/07/03 08:28:26.492, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.42 W, 39
2026/07/03 08:28:27.494, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.56 W, 39
2026/07/03 08:28:28.496, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.64 W, 39
2026/07/03 08:28:29.497, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.55 W, 39
2026/07/03 08:28:30.499, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.33 W, 38
2026/07/03 08:28:31.500, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.11 W, 38
2026/07/03 08:28:32.502, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 176.35 W, 48
2026/07/03 08:28:33.504, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.01 W, 50
2026/07/03 08:28:34.506, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 83 %, 75 %, 345.74 W, 51
2026/07/03 08:28:35.508, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 347.96 W, 52
2026/07/03 08:28:36.509, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.70 W, 52
2026/07/03 08:28:37.511, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 347.83 W, 53
2026/07/03 08:28:38.512, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.78 W, 53
2026/07/03 08:28:39.514, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.42 W, 54
2026/07/03 08:28:40.515, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.70 W, 54
2026/07/03 08:28:41.517, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.35 W, 54
2026/07/03 08:28:42.518, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 21 %, 347.31 W, 55
2026/07/03 08:28:43.520, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.60 W, 55
2026/07/03 08:28:44.522, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.00 W, 55
2026/07/03 08:28:45.523, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.73 W, 56
2026/07/03 08:28:46.525, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.34 W, 56
2026/07/03 08:28:47.527, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.34 W, 56
2026/07/03 08:28:48.529, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.88 W, 57
2026/07/03 08:28:49.531, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.94 W, 57
2026/07/03 08:28:50.532, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 66 %, 347.68 W, 58
2026/07/03 08:28:51.534, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.78 W, 57
2026/07/03 08:28:52.536, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.15 W, 57
2026/07/03 08:28:53.537, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.14 W, 58
2026/07/03 08:28:54.539, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.14 W, 58
2026/07/03 08:28:55.540, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 82 %, 57 %, 347.16 W, 58
2026/07/03 08:28:56.541, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.07 W, 58
2026/07/03 08:28:57.543, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.01 W, 58
2026/07/03 08:28:58.545, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.61 W, 59
2026/07/03 08:28:59.547, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.43 W, 59
2026/07/03 08:29:00.548, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.27 W, 59
2026/07/03 08:29:01.549, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.35 W, 59
2026/07/03 08:29:02.551, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.37 W, 59
2026/07/03 08:29:03.553, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 21 %, 347.19 W, 60
2026/07/03 08:29:04.554, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.40 W, 59
2026/07/03 08:29:05.556, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.17 W, 59
2026/07/03 08:29:06.558, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.13 W, 60
2026/07/03 08:29:07.559, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.16 W, 60
2026/07/03 08:29:08.561, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.22 W, 60
2026/07/03 08:29:09.562, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.32 W, 60
2026/07/03 08:29:10.564, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.40 W, 60
2026/07/03 08:29:11.565, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 67 %, 346.82 W, 61
2026/07/03 08:29:12.567, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.27 W, 60
2026/07/03 08:29:13.569, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.28 W, 60
2026/07/03 08:29:14.571, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.49 W, 60
2026/07/03 08:29:15.572, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 349.24 W, 60
2026/07/03 08:29:16.574, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 82 %, 64 %, 346.21 W, 60
2026/07/03 08:29:17.575, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 347.36 W, 61
2026/07/03 08:29:18.577, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.59 W, 61
2026/07/03 08:29:19.579, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 100 %, 348.27 W, 61
