concurrency,tpot_ms_mean,tpot_ms_std,decode_rate_tok_s_mean,decode_rate_tok_s_std,ttft_ms_mean,ttft_ms_std,throughput_tok_s_mean,throughput_tok_s_std,e2e_latency_ms_mean,e2e_latency_ms_std,gpu_mem_used_mib_mean_mean,gpu_mem_used_mib_mean_std,gpu_mem_used_mib_max_mean,gpu_mem_used_mib_max_std,gpu_mem_total_mib_mean,gpu_mem_total_mib_std,mem_pressure_x_mean_mean,mem_pressure_x_mean_std,mem_pressure_x_max_mean,mem_pressure_x_max_std,gpu_util_pct_mean_mean,gpu_util_pct_mean_std,power_w_mean_mean,power_w_mean_std,temp_c_mean_mean,temp_c_mean_std
1,19.5064,0.0169,51.2652,0.0445,230.8806,2.2083,47.2564,0.0748,,,20303.4333,1.4224,20500.3333,112.006,24576.0,0.0,0.8262,0.0001,0.8342,0.0046,85.7333,19.3436,305.5667,61.5507,57.4,5.8043
2,20.129,0.0188,49.6797,0.0464,350.1542,0.2447,88.0635,0.0696,,,20304.2333,0.4041,20396.0,146.5503,24576.0,0.0,0.8262,0.0,0.8299,0.006,96.0667,0.2517,335.9333,0.4041,62.2,1.2288
4,21.9682,0.0366,45.5205,0.0757,554.7591,5.0794,153.0453,0.1949,,,20304.7667,0.5774,20483.0,142.0282,24576.0,0.0,0.8262,0.0,0.8335,0.0058,93.0,0.0,326.2333,0.2309,61.0667,1.5144
8,27.258,0.6898,36.7019,0.9159,759.5159,71.6471,242.453,0.9432,,,20304.6,0.9539,20395.6667,146.8139,24576.0,0.0,0.8262,0.0,0.8299,0.006,90.2333,0.4041,314.5333,1.2741,60.3333,1.4468
16,37.5141,0.8449,26.6658,0.6081,1179.1758,89.5096,344.0882,1.4227,,,20304.0,0.0,20304.0,0.0,24576.0,0.0,0.8262,0.0,0.8262,0.0,86.1,0.5196,302.0,1.5395,59.0667,1.0693
32,60.7423,0.5184,16.4638,0.1402,1691.3945,62.7402,434.4526,0.6834,,,20304.0,0.0,20304.0,0.0,24576.0,0.0,0.8262,0.0,0.8262,0.0,83.0667,0.4041,291.4333,1.3317,57.9333,1.0116
