timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 08:56:38.443, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.55 W, 46
2026/07/03 08:56:39.451, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.18 W, 46
2026/07/03 08:56:40.453, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.00 W, 44
2026/07/03 08:56:41.455, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.02 W, 43
2026/07/03 08:56:42.456, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.99 W, 43
2026/07/03 08:56:43.465, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.99 W, 42
2026/07/03 08:56:44.487, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.83 W, 42
2026/07/03 08:56:45.488, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.80 W, 42
2026/07/03 08:56:46.489, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.59 W, 41
2026/07/03 08:56:47.490, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.32 W, 40
2026/07/03 08:56:48.492, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.17 W, 40
2026/07/03 08:56:49.493, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.07 W, 40
2026/07/03 08:56:50.495, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.08 W, 39
2026/07/03 08:56:51.496, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.78 W, 39
2026/07/03 08:56:52.497, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 23.67 W, 39
2026/07/03 08:56:53.499, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 18 %, 41.00 W, 43
2026/07/03 08:56:54.500, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 22 %, 331.08 W, 51
2026/07/03 08:56:55.502, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 342.89 W, 52
2026/07/03 08:56:56.503, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 24 %, 344.73 W, 53
2026/07/03 08:56:57.505, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.94 W, 54
2026/07/03 08:56:58.506, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 346.15 W, 54
2026/07/03 08:56:59.508, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.83 W, 55
2026/07/03 08:57:00.509, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 345.98 W, 55
2026/07/03 08:57:01.511, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.64 W, 54
2026/07/03 08:57:02.513, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.36 W, 55
2026/07/03 08:57:03.515, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.45 W, 55
2026/07/03 08:57:04.516, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 30 %, 348.98 W, 56
2026/07/03 08:57:05.517, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 345.99 W, 57
2026/07/03 08:57:06.518, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.49 W, 57
2026/07/03 08:57:07.519, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.86 W, 58
2026/07/03 08:57:08.521, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.68 W, 58
2026/07/03 08:57:09.523, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.65 W, 58
2026/07/03 08:57:10.525, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.81 W, 58
2026/07/03 08:57:11.526, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 97 %, 348.84 W, 58
2026/07/03 08:57:12.528, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.02 W, 58
2026/07/03 08:57:13.529, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.24 W, 58
2026/07/03 08:57:14.530, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 30 %, 347.29 W, 59
2026/07/03 08:57:15.532, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 346.60 W, 59
2026/07/03 08:57:16.533, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.88 W, 60
2026/07/03 08:57:17.535, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.67 W, 60
2026/07/03 08:57:18.536, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.86 W, 60
2026/07/03 08:57:19.538, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 345.56 W, 60
