timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 16:05:10.569, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 33.25 W, 47
2026/07/03 16:05:11.573, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.23 W, 47
2026/07/03 16:05:12.574, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.14 W, 47
2026/07/03 16:05:13.575, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.11 W, 47
2026/07/03 16:05:14.576, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.11 W, 46
2026/07/03 16:05:15.576, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.09 W, 46
2026/07/03 16:05:16.577, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.99 W, 46
2026/07/03 16:05:17.578, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.87 W, 46
2026/07/03 16:05:18.579, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.85 W, 45
2026/07/03 16:05:19.579, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 156.88 W, 52
2026/07/03 16:05:20.580, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 284.81 W, 52
2026/07/03 16:05:21.581, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 98 %, 83 %, 317.47 W, 53
2026/07/03 16:05:22.582, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 285.44 W, 53
2026/07/03 16:05:23.582, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 320.65 W, 55
2026/07/03 16:05:24.583, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 286.36 W, 54
2026/07/03 16:05:25.583, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 299.69 W, 61
2026/07/03 16:05:26.584, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 320.38 W, 54
2026/07/03 16:05:27.585, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 286.62 W, 54
2026/07/03 16:05:28.585, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 320.94 W, 55
