timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 16:13:31.769, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.23 W, 47
2026/07/03 16:13:32.773, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.13 W, 47
2026/07/03 16:13:33.773, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.05 W, 47
2026/07/03 16:13:34.774, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.05 W, 46
2026/07/03 16:13:35.774, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.00 W, 46
2026/07/03 16:13:36.774, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.90 W, 46
2026/07/03 16:13:37.775, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.80 W, 46
2026/07/03 16:13:38.775, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.74 W, 45
2026/07/03 16:13:39.776, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.80 W, 45
2026/07/03 16:13:40.776, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 331.02 W, 54
2026/07/03 16:13:41.777, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 300.07 W, 53
2026/07/03 16:13:42.777, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 61 %, 314.14 W, 60
2026/07/03 16:13:43.777, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 420.34 W, 55
2026/07/03 16:13:44.778, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 301.59 W, 55
2026/07/03 16:13:45.778, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 343.09 W, 62
2026/07/03 16:13:46.778, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 398.08 W, 56
2026/07/03 16:13:47.779, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 300.89 W, 55
2026/07/03 16:13:48.779, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 41 %, 371.00 W, 65
2026/07/03 16:13:49.780, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 371.30 W, 56
2026/07/03 16:13:50.780, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 302.72 W, 56
2026/07/03 16:13:51.781, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 401.23 W, 66
2026/07/03 16:13:52.781, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 344.83 W, 57
2026/07/03 16:13:53.781, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 301.89 W, 57
2026/07/03 16:13:54.782, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 428.36 W, 62
2026/07/03 16:13:55.782, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 322.23 W, 57
2026/07/03 16:13:56.783, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 303.65 W, 57
2026/07/03 16:13:57.783, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 431.50 W, 59
2026/07/03 16:13:58.783, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 303.19 W, 58
2026/07/03 16:13:59.784, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 50 %, 317.33 W, 64
2026/07/03 16:14:00.784, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 430.97 W, 59
2026/07/03 16:14:01.785, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 304.02 W, 58
2026/07/03 16:14:02.787, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 338.03 W, 66
2026/07/03 16:14:03.787, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 412.76 W, 59
2026/07/03 16:14:04.788, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 304.24 W, 59
2026/07/03 16:14:05.788, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 361.57 W, 67
2026/07/03 16:14:06.789, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 389.90 W, 59
2026/07/03 16:14:07.789, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 303.94 W, 59
2026/07/03 16:14:08.789, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 385.84 W, 68
2026/07/03 16:14:09.790, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 368.28 W, 59
2026/07/03 16:14:10.790, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 304.29 W, 59
2026/07/03 16:14:11.791, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 405.98 W, 68
2026/07/03 16:14:12.791, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 345.10 W, 60
2026/07/03 16:14:13.791, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 304.61 W, 59
2026/07/03 16:14:14.792, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 43 %, 429.67 W, 67
2026/07/03 16:14:15.792, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 322.84 W, 60
2026/07/03 16:14:16.793, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 305.18 W, 60
2026/07/03 16:14:17.793, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 431.60 W, 62
2026/07/03 16:14:18.793, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 305.54 W, 60
2026/07/03 16:14:19.794, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 64 %, 316.45 W, 66
2026/07/03 16:14:20.794, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 433.44 W, 61
2026/07/03 16:14:21.795, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 305.54 W, 60
2026/07/03 16:14:22.795, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 336.59 W, 68
2026/07/03 16:14:23.795, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 417.39 W, 61
2026/07/03 16:14:24.796, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 305.63 W, 60
2026/07/03 16:14:25.796, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 358.07 W, 68
2026/07/03 16:14:26.797, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 394.19 W, 61
2026/07/03 16:14:27.797, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 305.35 W, 60
