timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 07:46:13.559, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 25.88 W, 48
2026/07/03 07:46:14.567, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 25.84 W, 47
2026/07/03 07:46:15.568, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 25.76 W, 47
2026/07/03 07:46:16.572, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 25.42 W, 46
2026/07/03 07:46:17.574, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 25.03 W, 46
2026/07/03 07:46:18.576, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 24.98 W, 45
2026/07/03 07:46:19.577, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 25.00 W, 44
2026/07/03 07:46:20.578, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 24.70 W, 43
2026/07/03 07:46:21.579, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 24.38 W, 43
2026/07/03 07:46:22.581, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 24.13 W, 43
2026/07/03 07:46:23.583, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 24.07 W, 42
2026/07/03 07:46:24.585, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 23.86 W, 42
2026/07/03 07:46:25.586, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 24.01 W, 41
2026/07/03 07:46:26.588, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 24.17 W, 41
2026/07/03 07:46:27.589, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 0 %, 0 %, 23.79 W, 41
2026/07/03 07:46:28.591, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 19 %, 110.53 W, 52
2026/07/03 07:46:29.593, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 349.42 W, 53
2026/07/03 07:46:30.595, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 349.52 W, 53
2026/07/03 07:46:31.597, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 349.14 W, 55
2026/07/03 07:46:32.599, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 22 %, 347.74 W, 55
2026/07/03 07:46:33.600, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 348.27 W, 55
2026/07/03 07:46:34.601, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 349.09 W, 55
2026/07/03 07:46:35.603, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 22 %, 348.62 W, 57
2026/07/03 07:46:36.605, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 348.81 W, 56
2026/07/03 07:46:37.607, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 347.97 W, 56
2026/07/03 07:46:38.609, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 348.10 W, 58
2026/07/03 07:46:39.610, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 22 %, 348.17 W, 57
2026/07/03 07:46:40.612, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 348.52 W, 57
2026/07/03 07:46:41.613, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 100 %, 348.87 W, 57
2026/07/03 07:46:42.615, NVIDIA GeForce RTX 3090, 21422 MiB, 24576 MiB, 100 %, 22 %, 348.49 W, 59
