timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 16:16:57.720, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.75 W, 47
2026/07/03 16:16:58.724, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.69 W, 46
2026/07/03 16:16:59.725, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.67 W, 46
2026/07/03 16:17:00.726, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.61 W, 46
2026/07/03 16:17:01.727, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.50 W, 45
2026/07/03 16:17:02.727, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.49 W, 45
2026/07/03 16:17:03.728, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.45 W, 45
2026/07/03 16:17:04.729, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.32 W, 45
2026/07/03 16:17:05.730, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 45.62 W, 54
2026/07/03 16:17:06.731, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 465.16 W, 61
2026/07/03 16:17:07.732, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 448.07 W, 61
2026/07/03 16:17:08.732, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 438.27 W, 58
2026/07/03 16:17:09.733, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 343.19 W, 56
2026/07/03 16:17:10.734, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 343.54 W, 57
2026/07/03 16:17:11.735, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 442.35 W, 64
