timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 05:13:31.226, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.21 W, 44
2026/07/03 05:13:32.235, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.04 W, 43
2026/07/03 05:13:33.237, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.07 W, 42
2026/07/03 05:13:34.239, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.28 W, 42
2026/07/03 05:13:35.240, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.17 W, 41
2026/07/03 05:13:36.242, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.62 W, 40
2026/07/03 05:13:37.244, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.22 W, 40
2026/07/03 05:13:38.246, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.10 W, 39
2026/07/03 05:13:39.247, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.11 W, 39
2026/07/03 05:13:40.249, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 23.87 W, 39
2026/07/03 05:13:41.251, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 23.75 W, 38
2026/07/03 05:13:42.253, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 23.80 W, 38
2026/07/03 05:13:43.255, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 23.58 W, 38
2026/07/03 05:13:44.257, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 23.42 W, 37
2026/07/03 05:13:45.259, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 23.57 W, 37
2026/07/03 05:13:46.260, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 73 %, 208.74 W, 49
2026/07/03 05:13:47.262, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.59 W, 50
2026/07/03 05:13:48.264, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.18 W, 50
2026/07/03 05:13:49.265, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 23 %, 348.86 W, 52
2026/07/03 05:13:50.267, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.13 W, 52
2026/07/03 05:13:51.269, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 347.29 W, 52
2026/07/03 05:13:52.270, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 25 %, 347.59 W, 54
2026/07/03 05:13:53.272, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 346.90 W, 53
2026/07/03 05:13:54.274, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 347.99 W, 53
2026/07/03 05:13:55.275, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 347.82 W, 53
