timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 04:54:35.861, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.64 W, 22
2026/07/03 04:54:36.868, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.71 W, 22
2026/07/03 04:54:37.869, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.76 W, 22
2026/07/03 04:54:38.871, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.65 W, 22
2026/07/03 04:54:39.873, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.69 W, 21
2026/07/03 04:54:40.874, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.73 W, 22
2026/07/03 04:54:41.875, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.57 W, 22
2026/07/03 04:54:42.877, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.52 W, 22
2026/07/03 04:54:43.879, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.51 W, 22
2026/07/03 04:54:44.880, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.41 W, 22
2026/07/03 04:54:45.882, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.45 W, 22
2026/07/03 04:54:46.883, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.57 W, 22
2026/07/03 04:54:47.885, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.54 W, 22
2026/07/03 04:54:48.887, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 22.68 W, 22
2026/07/03 04:54:49.889, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 19 %, 36.48 W, 27
2026/07/03 04:54:50.890, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 320.70 W, 35
2026/07/03 04:54:51.892, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.68 W, 37
2026/07/03 04:54:52.893, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 346.05 W, 38
2026/07/03 04:54:53.895, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.84 W, 38
2026/07/03 04:54:54.897, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.91 W, 39
2026/07/03 04:54:55.899, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 349.12 W, 40
2026/07/03 04:54:56.900, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.96 W, 41
2026/07/03 04:54:57.902, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 84 %, 55 %, 346.95 W, 42
2026/07/03 04:54:58.904, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.24 W, 41
2026/07/03 04:54:59.906, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 347.91 W, 42
2026/07/03 04:55:00.908, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 346.39 W, 43
2026/07/03 04:55:01.909, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.73 W, 43
2026/07/03 04:55:02.911, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.72 W, 44
2026/07/03 04:55:03.913, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 350.91 W, 45
2026/07/03 04:55:04.915, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 349.08 W, 45
2026/07/03 04:55:05.916, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 93 %, 96 %, 348.98 W, 44
2026/07/03 04:55:06.918, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.35 W, 46
2026/07/03 04:55:07.920, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.39 W, 46
2026/07/03 04:55:08.921, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 96 %, 348.00 W, 47
2026/07/03 04:55:09.923, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 348.92 W, 47
2026/07/03 04:55:10.924, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 349.35 W, 48
2026/07/03 04:55:11.926, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 349.54 W, 48
2026/07/03 04:55:12.927, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 349.33 W, 49
2026/07/03 04:55:13.929, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 100 %, 349.21 W, 49
