concurrency,tpot_ms,decode_rate_tok_s,ttft_ms,throughput_tok_s,e2e_latency_ms,gpu_mem_used_mib_mean,gpu_mem_used_mib_max,gpu_mem_total_mib,mem_pressure_x_mean,mem_pressure_x_max,gpu_util_pct_mean,power_w_mean,temp_c_mean
1,19.5064,51.2652,230.8806,47.2564,,20303.4333,20500.3333,24576.0,0.8262,0.8342,85.7333,305.5667,57.4
2,20.129,49.6797,350.1542,88.0635,,20304.2333,20396.0,24576.0,0.8262,0.8299,96.0667,335.9333,62.2
4,21.9682,45.5205,554.7591,153.0453,,20304.7667,20483.0,24576.0,0.8262,0.8335,93.0,326.2333,61.0667
8,27.258,36.7019,759.5159,242.453,,20304.6,20395.6667,24576.0,0.8262,0.8299,90.2333,314.5333,60.3333
16,37.5141,26.6658,1179.1758,344.0882,,20304.0,20304.0,24576.0,0.8262,0.8262,86.1,302.0,59.0667
32,60.7423,16.4638,1691.3945,434.4526,,20304.0,20304.0,24576.0,0.8262,0.8262,83.0667,291.4333,57.9333
